age,male,female
0,493,470
1,514,486
2,490,470
3,499,476
4,517,495
5,520,497
6,536,510
7,538,511
8,543,517
9,553,527
10,549,523
11,545,520
12,546,521
13,565,540
14,576,548
15,594,565
16,602,572
17,619,583
18,623,590
19,641,607
20,641,607
21,639,600
22,649,611
23,645,609
24,631,596
25,635,599
26,628,597
27,637,608
28,650,623
29,671,642
30,688,661
31,700,672
32,724,702
33,746,726
34,758,736
35,757,738
36,767,745
37,799,778
38,821,797
39,852,829
40,875,851
41,917,892
42,957,932
43,1011,982
44,1024,1002
45,1008,982
46,978,958
47,949,929
48,932,916
49,910,896
50,908,893
51,707,701
52,873,864
53,817,809
54,794,790
55,766,764
56,753,753
57,755,760
58,768,774
59,744,755
60,721,734
61,755,773
62,779,798
63,774,799
64,817,853
65,860,903
66,904,955
67,963,1027
68,1046,1124
69,1026,1114
70,965,1053
71,591,660
72,621,711
73,743,864
74,708,833
75,713,852
76,678,822
77,598,741
78,504,639
79,517,676
80,508,683
81,483,672
82,433,631
83,382,583
84,351,567
85,314,530
86,272,490
87,228,438
88,195,403
89,164,361
90,135,319
91,108,280
92,79,232
93,56,185
94,39,151
95,26,112
96,18,85
97,13,67
98,7,40
99,5,30
100,9,59